Datetime;Ticker;superior_POI;Close;Timeframe;DIRECTION;first_fractal_Datetime;first_fractal;first_fractal_price;second_fractal_Datetime;second_fractal;second_fractal_price
2021-12-20 11:00:00+00:00;EURNZD;6;1,6775599718093872;H2;;2021-12-14 13:00:00+00:00;higher_high;1,6757954209952763;2021-12-16 11:00:00+00:00;lower_low;1,6565961788737729
2021-12-01 00:00:00;EURNZD;6;1,6675299406051636;MO;;2015-04-01 00:00:00;lower_low;1,3875878244935005;2015-08-01 00:00:00;higher_high;1,85778012590585
2021-12-13 00:00:00;EURNZD;6;1,649399995803833;W1;;2020-03-16 00:00:00;higher_high;1,9895808175276009;2021-01-11 00:00:00;higher_low;1,6315681845986516
2021-12-17 00:00:00;EURNZD;6;1,6675299406051636;D1;;2021-08-20 00:00:00;higher_high;1,7162186234322063;2021-09-16 00:00:00;lower_low;1,6521664812391348
2021-12-19 23:00:00+00:00;EURJPY;6;127,9800033569336;H12;;2021-09-22 00:00:00+01:00;6;127,9396575731603;2021-10-20 00:00:00+01:00;higher_high;133,4537764340807
2021-12-19 23:00:00+00:00;EURJPY;6;127,63300323486328;H8;;2021-10-20 00:00:00+01:00;higher_high;133,4537764340807;2021-12-03 15:00:00+00:00;lower_low;127,37770652697296
2021-12-20 05:00:00+00:00;EURJPY;6;127,9800033569336;H6;;2021-12-03 17:00:00+00:00;lower_low;127,37770652697296;2021-12-08 11:00:00+00:00;lower_high;129,06642852143068
2021-12-20 07:00:00+00:00;EURJPY;6;127,9800033569336;H4;;2021-12-03 19:00:00+00:00;lower_low;127,37770652697296;2021-12-08 15:00:00+00:00;lower_high;129,06642852143068
2021-12-20 08:00:00+00:00;EURJPY;6;127,9800033569336;H3;;2021-12-08 14:00:00+00:00;higher_high;129,06642852143068;2021-12-14 20:00:00+00:00;higher_low;127,9436626816185
2021-12-20 11:00:00+00:00;EURJPY;6;127,90599822998048;H2;;2021-12-08 15:00:00+00:00;higher_high;129,06642852143068;2021-12-14 21:00:00+00:00;higher_low;127,9436626816185
2021-12-01 00:00:00;EURJPY;6;128,81900024414062;MO;;2016-06-01 00:00:00;higher_low;109,5901425546096;2018-02-01 00:00:00;lower_high;137,4891061570269
2021-12-13 00:00:00;EURJPY;6;127,76934814453124;W1;;2020-05-04 00:00:00;lower_low;114,44575295866582;2021-05-31 00:00:00;higher_high;134,13583838167074
2021-12-17 00:00:00;EURJPY;6;128,81900024414062;D1;;2021-09-22 00:00:00;lower_low;127,90966121800284;2021-10-20 00:00:00;higher_high;133,47977951173183
2021-12-19 23:00:00+00:00;EURGBP;6;0,8533999919891357;H12;;2021-09-29 12:00:00+01:00;6;0,8653299249836732;2021-11-22 11:00:00+00:00;lower_low;0,8382322484089427
2021-12-19 23:00:00+00:00;EURGBP;6;0,8511000275611877;H8;;2021-11-22 15:00:00+00:00;lower_low;0,8382322484089427;2021-12-08 15:00:00+00:00;lower_high;0,8588794063467851
2021-12-20 05:00:00+00:00;EURGBP;6;0,8533999919891357;H6;;2021-11-22 17:00:00+00:00;lower_low;0,8382322484089427;2021-12-08 17:00:00+00:00;lower_high;0,8588794063467851
